id,Census,Gender,location
Aaron A,1754,Male,Mansion House
Abram A,1799,Male,Dogue Run
Abram C,1779,Male,River Farm
Adam B,1786,Male,River Farm
Adam C,1790,Male,Dogue Run
Agnes A,1799,Female,River Farm
Agnes B,1799,Female,Dogue Run
Alce B,1799,Female,Muddy Hole
Alce C,1799,Female,Mansion House
Alce D,1799,Female,River Farm
Alce F,1787,Female,Mansion House
Alla A,1799,Female,Mansion House
Ambrose B,1787,Male,River Farm
Amy A,1799,Female,Muddy Hole
Andrew A,1789,Male,Dogue Run
Anna A,1799,Female,Mansion House
Anteno A,1754,Male,Mansion House
Anthony A,1799,Male,Mansion House
Anthony B,1763,Male,Mansion House
Arlington A,1774,Male,River Farm
Austin A,1794,Male,Mansion House
Bacchus A,1774,Male,Mansion House
Barbara B,1754,Female,Mansion House
Barbara C,1754,Female,Mansion House
Barbary A,1799,Female,Dogue Run
Bath A,1792,Male,River Farm
Beck B,1792,Female,Mansion House
Ben B,1799,Male,Mill Complex
Ben C,1799,Male,River Farm
Ben D,1799,Male,River Farm
Ben E,1799,Male,Dogue Run
Ben G,1795,Male,River Farm
Ben Hubbard,1799,Male,Mansion House
Betty A,1799,Female,Union Farm
Betty B,1799,Female,River Farm
Betty C,1799,Female,Dogue Run
Betty D,1799,Female,Union Farm
Betty Davis,1799,Female,Dogue Run
Betty E,1774,Female,Dogue Run
Betty M,1795,Female,Mansion House
Betty N,1761,Female,River Farm
Betty O,1762,Female,Muddy Hole
Betty P,1766,Female,Mansion House
Bill Langston,1789,Male,Union Farm
Billy D,1789,Male,Dogue Run
Boatswain A,1799,Male,Mansion House
Boatswain B,1794,Male,Mansion House
Bob C,1774,Male,Dogue Run
Breechy A,1799,Male,River Farm
Bristol A,1795,Male,Mansion House
Brunswick A,1791,Male,Dogue Run
Brunswick B,1770,Male,Mansion House
Caesar A,1799,Male,Union Farm
Caesar B,1763,Male,Dogue Run
Caroline A,1799,Female,Mansion House
Cecelia A,1799,Female,River Farm
Charity B,1799,Female,Dogue Run
Charles A,1799,Male,Muddy Hole
Charles G,1765,Male,Mansion House
Charles Freeman,1799,Male,Mansion House
Charlotte A,1799,Female,Mansion House
Christopher Sheels,1799,Male,Mansion House
Cloe A,1799,Female,River Farm
Cornelia A,1799,Female,River Farm
Couta A,1754,Female,Mansion House
Crager A,1789,Unknown,Dogue Run
Cupid A,1795,Male,Union Farm
Cupid B,1766,Male,River Farm
Cynthia A,1788,Female,River Farm
Cyrus A,1799,Male,Mansion House
Daniel A,1799,Male,Union Farm
Daniel C,1799,Male,River Farm
Daniel D,1799,Male,Union Farm
Daniel F,1795,Male,Dogue Run
Daphne B,1799,Female,Dogue Run
Daphne C,1799,Female,River Farm
Daphne D,1799,Female,Union Farm
Daphne E,1789,Female,River Farm
Daphne F,1774,Female,Mansion House
Darcus A,1799,Female,Muddy Hole
Darcus C,1760,Female,Mansion House
Davy A,1799,Male,Mill Complex
Davy F,1774,Male,Mansion House
